Nom Ville,MAJ,Code Postal,Code INSEE,Latitude,Longitude,Eloignement,Departement
Saint-Perdoux,SAINT PERDOUX,24560,24483,44.733333,0.533333,1.5,3
Saint-Perdoux,SAINT PERDOUX,46100,46288,44.666667,2.066667,1.83,60
Saint-Père,SAINT PERE,35430,35306,48.583333,-1.916667,1.95,18
Saint-Père,SAINT PERE,89450,89364,47.466667,3.766667,1.14,15
Saint-Père-en-Retz,SAINT PERE EN RETZ,44320,44187,47.2,-2.033333,1.11,71
Saint-Péreuse,SAINT PEREUSE,58110,58262,47.066667,3.8,1.64,13
Saint-Pern,SAINT PERN,35190,35307,48.283333,-1.983333,1.78,18
Saint-Perreux,SAINT PERREUX,56350,56232,47.666667,-2.1,1.92,19
Saint-Péver,SAINT PEVER,22720,22322,48.483333,-3.1,0.67,16
Saint-Pey-de-Castets,SAINT PEY DE CASTETS,33350,33460,44.816667,-0.066667,1.19,4
Saint-Phal,SAINT PHAL,10130,10359,48.116667,4,1.56,27
Saint-Philbert-de-Bouaine,SAINT PHILBERT DE BOUAINE,85660,85262,46.983333,-1.516667,2.01,75
Saint-Philbert-de-Grand-Lieu,SAINT PHILBERT DE GRAND LIEU,44310,44188,47.033333,-1.633333,1.81,71
Saint-Philbert-du-Peuple,SAINT PHILBERT DU PEUPLE,49160,49311,47.4,-0.05,1.61,72
Saint-Philbert-du-Pont-Charrault,SAINT PHILBERT DU PONT CHARRAULT,85110,85263,46.65,-0.966667,0.98,75
Saint-Philbert-en-Mauges,SAINT PHILBERT EN MAUGES,49600,49312,47.15,-1.016667,1.52,72
Saint-Philbert-sur-Orne,SAINT PHILBERT SUR ORNE,61430,61444,48.833333,-0.4,1.51,68
Saint-Philbert-sur-Risle,SAINT PHILBERT SUR RISLE,27290,27587,49.283333,0.65,1.16,69
Saint-Philibert,SAINT PHILIBERT,21220,21565,47.2,5.016667,1.57,12
Saint-Philibert,SAINT PHILIBERT,56470,56233,47.583333,-3,1.4,19
Saint-Philippe-d'Aiguille,SAINT PHILIPPE D AIGUILLE,33350,33461,44.916667,-0.033333,1.44,4
Saint-Philippe-du-Seignal,SAINT PHILIPPE DU SEIGNAL,33220,33462,44.816667,0.233333,2.42,4
Saint-Piat,SAINT PIAT,28130,28357,48.55,1.583333,0.85,21
Saint-Pierre,SAINT PIERRE,15350,15206,45.383333,2.383333,2.08,9
Saint-Pierre,SAINT PIERRE,39150,39494,46.566667,5.916667,1.55,33
Saint-Pierre,SAINT PIERRE,51510,51509,48.95,4.25,0.68,28
Saint-Pierre,SAINT PIERRE,67140,67429,48.383333,7.466667,1.56,1
Saint-Pierre-à-Arnes,SAINT PIERRE A ARNES,08310,08393,49.3,4.45,2.05,26
Saint-Pierre-à-Champ,SAINT PIERRE A CHAMP,79290,79288,47.066667,-0.366667,2.02,81
Saint-Pierre-Aigle,SAINT PIERRE AIGLE,02600,02687,49.316667,3.183333,1.5,76
Saint-Pierre-Avez,SAINT PIERRE AVEZ,05300,05155,44.25,5.766667,2.27,84
Saint-Pierre-Azif,SAINT PIERRE AZIF,14950,14645,49.3,0.05,1.41,66
Saint-Pierre-Bellevue,SAINT PIERRE BELLEVUE,23460,23232,45.916667,1.883333,1.19,50
Saint-Pierre-Bénouville,SAINT PIERRE BENOUVILLE,76890,76632,49.75,0.966667,1.61,70
Saint-Pierre-Bois,SAINT PIERRE BOIS,67220,67430,48.333333,7.366667,1.88,1
Saint-Pierre-Brouck,SAINT PIERRE BROUCK,59630,59539,50.9,2.183333,2.69,64
Saint-Pierre-Canivet,SAINT PIERRE CANIVET,14700,14646,48.933333,-0.216667,1.45,66
Saint-Pierre-Colamine,SAINT PIERRE COLAMINE,63610,63383,45.533333,3.016667,1.64,11
Saint-Pierre-d'Albigny,SAINT PIERRE D ALBIGNY,73250,73270,45.566667,6.15,0.39,95
Saint-Pierre-d'Allevard,SAINT PIERRE D ALLEVARD,38830,38439,45.366667,6.05,2.1,92
Saint-Pierre-d'Alvey,SAINT PIERRE D ALVEY,73170,73271,45.633333,5.733333,1.73,95
Saint-Pierre-d'Amilly,SAINT PIERRE D AMILLY,17700,17382,46.166667,-0.666667,1.57,80
Saint-Pierre-d'Argençon,SAINT PIERRE D ARGENCON,05140,05154,44.516667,5.7,1.37,84
Saint-Pierre-d'Arthéglise,SAINT PIERRE D ARTHEGLISE,50270,50536,49.416667,-1.683333,1.87,67
Saint-Pierre-d'Aurillac,SAINT PIERRE D AURILLAC,33490,33463,44.566667,-0.183333,1.24,4
Saint-Pierre-d'Autils,SAINT PIERRE D AUTILS,27950,27588,49.116667,1.433333,1.38,69
Saint-Pierre-de-Bailleul,SAINT PIERRE DE BAILLEUL,27920,27589,49.116667,1.4,1.27,69
Saint-Pierre-de-Bat,SAINT PIERRE DE BAT,33760,33464,44.666667,-0.233333,1.21,4
Saint-Pierre-de-Belleville,SAINT PIERRE DE BELLEVILLE,73220,73272,45.466667,6.266667,1.06,95
Saint-Pierre-de-Boeuf,SAINT PIERRE DE BOEUF,42520,42272,45.366667,4.75,2.82,93
Saint-Pierre-de-Bressieux,SAINT PIERRE DE BRESSIEUX,38870,38440,45.316667,5.283333,0.75,92
Saint-Pierre-de-Buzet,SAINT PIERRE DE BUZET,47160,47267,44.25,0.266667,0.93,6
Saint-Pierre-de-Caubel,SAINT PIERRE DE CAUBEL,47380,47268,44.466667,0.533333,0.55,6
Saint-Pierre-de-Cernières,SAINT PIERRE DE CERNIERES,27390,27590,48.95,0.516667,1.6,69
Saint-Pierre-de-Chandieu,SAINT PIERRE DE CHANDIEU,69780,69289,45.65,5.016667,2.77,94
Saint-Pierre-de-Chartreuse,SAINT PIERRE DE CHARTREUSE,38380,38442,45.333333,5.816667,1.89,92
Saint-Pierre-de-Chérennes,SAINT PIERRE DE CHERENNES,38160,38443,45.116667,5.366667,1.4,92
Saint-Pierre-de-Chevillé,SAINT PIERRE DE CHEVILLE,72500,72311,47.65,0.433333,2.17,74
Saint-Pierre-de-Chignac,SAINT PIERRE DE CHIGNAC,24330,24484,45.133333,0.85,0.62,3
Saint-Pierre-de-Clairac,SAINT PIERRE DE CLAIRAC,47270,47269,44.183333,0.766667,1.36,6
Saint-Pierre-de-Côle,SAINT PIERRE DE COLE,24800,24485,45.366667,0.8,1.65,3
Saint-Pierre-de-Colombier,SAINT PIERRE DE COLOMBIER,07450,07282,44.7,4.266667,1.22,90
Saint-Pierre-de-Cormeilles,SAINT PIERRE DE CORMEILLES,27260,27591,49.233333,0.383333,2.03,69
Saint-Pierre-de-Curtille,SAINT PIERRE DE CURTILLE,73310,73273,45.783333,5.816667,2.02,95
Saint-Pierre-de-Frugie,SAINT PIERRE DE FRUGIE,24450,24486,45.583333,1,2.36,3
Saint-Pierre-de-Fursac,SAINT PIERRE DE FURSAC,23290,23231,46.15,1.516667,2.12,50
Saint-Pierre-de-Génébroz,SAINT PIERRE DE GENEBROZ,73360,73275,45.45,5.75,1.67,95
Saint-Pierre-de-Jards,SAINT PIERRE DE JARDS,36260,36205,47.1,1.983333,1.61,22
Saint-Pierre-de-Juillers,SAINT PIERRE DE JUILLERS,17400,17383,45.933333,-0.366667,1.71,80
Saint-Pierre-de-la-Fage,SAINT PIERRE DE LA FAGE,34520,34283,43.783333,3.416667,1.5,46
Saint-Pierre-de-Lages,SAINT PIERRE DE LAGES,31570,31512,43.566667,1.616667,1.41,58
Saint-Pierre-de-Lamps,SAINT PIERRE DE LAMPS,36110,36206,46.966667,1.5,1.24,22
Saint-Pierre-de-l'Île,SAINT PIERRE DE L ILE,17330,17384,46.016667,-0.433333,1.58,80
Saint-Pierre-dels-Forcats,SAINT PIERRE DELS FORCATS,66210,66188,42.5,2.116667,1.69,48
Saint-Pierre-de-Maillé,SAINT PIERRE DE MAILLE,86260,86236,46.683333,0.85,1.95,82
Saint-Pierre-de-Mailloc,SAINT PIERRE DE MAILLOC,14290,14647,49.066667,0.316667,1.97,66
Saint-Pierre-de-Manneville,SAINT PIERRE DE MANNEVILLE,76113,76634,49.4,0.933333,2.07,70
Saint-Pierre-de-Méaroz,SAINT PIERRE DE MEAROZ,38350,38444,44.883333,5.816667,2.21,92
Saint-Pierre-de-Mésage,SAINT PIERRE DE MESAGE,38220,38445,45.05,5.766667,1.39,92
Saint-Pierre-de-Mons,SAINT PIERRE DE MONS,33210,33465,44.55,-0.216667,1.33,4
Saint-Pierre-de-Nogaret,SAINT PIERRE DE NOGARET,48340,48175,44.483333,3.133333,1.55,47
Saint-Pierre-d'Entremont,SAINT PIERRE D ENTREMONT,61800,61445,48.816667,-0.65,2.02,68
Saint-Pierre-d'Entremont,SAINT PIERRE D ENTREMONT,73670,73274,45.408333,5.85,1.31,95
Saint-Pierre-de-Plesguen,SAINT PIERRE DE PLESGUEN,35720,35308,48.45,-1.916667,1.29,18
Saint-Pierre-de-Rivière,SAINT PIERRE DE RIVIERE,09000,09273,42.966667,1.566667,0.5,56
Saint-Pierre-de-Salerne,SAINT PIERRE DE SALERNE,27800,27592,49.2,0.666667,1.11,69
Saint-Pierre-des-Bois,SAINT PIERRE DES BOIS,72430,72312,47.95,-0.133333,1.58,74
Saint-Pierre-des-Champs,SAINT PIERRE DES CHAMPS,11220,11363,43.05,2.6,1.05,44
Saint-Pierre-des-Corps,SAINT PIERRE DES CORPS,37700,37233,47.383333,0.733333,1,23
Saint-Pierre-de-Semilly,SAINT PIERRE DE SEMILLY,50810,50538,49.116667,-1,1.88,67
Saint-Pierre-des-Fleurs,SAINT PIERRE DES FLEURS,27370,27593,49.25,0.966667,0.81,69
Saint-Pierre-des-ifs,SAINT PIERRE DES IFS,14100,14648,49.116667,0.166667,1.52,66
Saint-Pierre-des-Ifs,SAINT PIERRE DES IFS,27450,27594,49.266667,0.633333,1.22,69
Saint-Pierre-des-Jonquières,SAINT PIERRE DES JONQUIERES,76660,76635,49.85,1.45,1.4,70
Saint-Pierre-des-Landes,SAINT PIERRE DES LANDES,53500,53245,48.266667,-1.016667,1.86,73
Saint-Pierre-des-Loges,SAINT PIERRE DES LOGES,61370,61446,48.75,0.466667,1.44,68
Saint-Pierre-des-Nids,SAINT PIERRE DES NIDS,53370,53246,48.4,-0.1,2.51,73
Saint-Pierre-des-Ormes,SAINT PIERRE DES ORMES,72600,72313,48.3,0.416667,1.69,74
Saint-Pierre-de-Soucy,SAINT PIERRE DE SOUCY,73800,73276,45.5,6.1,0.92,95
Saint-Pierre-des-Tripiers,SAINT PIERRE DES TRIPIERS,48150,48176,44.233333,3.283333,1.77,47
Saint-Pierre-de-Trivisy,SAINT PIERRE DE TRIVISY,81330,81267,43.766667,2.433333,1.52,62
Saint-Pierre-de-Varengeville,SAINT PIERRE DE VARENGEVILLE,76480,76636,49.5,0.933333,1.32,70
Saint-Pierre-de-Varennes,SAINT PIERRE DE VARENNES,71670,71468,46.833333,4.5,1.17,14
Saint-Pierre-de-Vassols,SAINT PIERRE DE VASSOLS,84330,84115,44.1,5.15,1.55,88
Saint-Pierre-d'Eyraud,SAINT PIERRE D EYRAUD,24130,24487,44.85,0.316667,1.49,3
Saint-Pierre-d'Irube,SAINT PIERRE D IRUBE,64990,64496,43.483333,-1.466667,2.35,7
Saint-Pierre-d'Oléron,SAINT PIERRE D OLERON,17310,17385,45.95,-1.316667,2.61,80
Saint-Pierre-du-Bosguérard,SAINT PIERRE DU BOSGUERARD,27370,27595,49.266667,0.9,1.13,69
Saint-Pierre-du-Bû,SAINT PIERRE DU BU,14700,14649,48.866667,-0.216667,1.97,66
Saint-Pierre-du-Chemin,SAINT PIERRE DU CHEMIN,85120,85264,46.683333,-0.7,1.61,75
Saint-Pierre-du-Fresne,SAINT PIERRE DU FRESNE,14260,14650,49.033333,-0.75,1.2,66
Saint-Pierre-du-Jonquet,SAINT PIERRE DU JONQUET,14670,14651,49.166667,-0.116667,1.4,66
Saint-Pierre-du-Lorouër,SAINT PIERRE DU LOROUER,72150,72314,47.8,0.516667,1.33,74
Saint-Pierre-du-Mesnil,SAINT PIERRE DU MESNIL,27330,27596,48.933333,0.583333,2.04,69
Saint-Pierre-du-Mont,SAINT PIERRE DU MONT,14450,14652,49.4,-0.983333,2.19,66
